"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ABS07-120-32.768KHZ-T","Abracon LLC","535-11937-1-ND","X2","","Cut Tape (CT)","Active","1","0.57000","$0.57","288156","27 Weeks","CRYSTAL 32.7680KHZ 6PF SMD","RoHS Compliant","Lead free","REACH Unaffected"
"ABM10-166-12.000MHZ-T3","Abracon LLC","535-13520-1-ND","X1","","Cut Tape (CT)","Active","1","0.61000","$0.61","10845","13 Weeks","CRYSTAL 12.00MHZ 8PF LOW ESR SMD","RoHS Compliant","Lead free","REACH Unaffected"
"ERJ-3GEY0R00V","Panasonic Electronic Components","P0.0GCT-ND","R11, R12, R13, R14","","Cut Tape (CT)","Active","4","0.10000","$0.40","19976078","Not Available","RES SMD 0 OHM JUMPER 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"CL10C080CB8NNNC","Samsung Electro-Mechanics","1276-1817-1-ND","C10, C11","","Cut Tape (CT)","Active","2","0.10000","$0.20","12885","Not Available","CAP CER 8PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected"
"CC0603CRNPO9BN4R3","Yageo","311-3858-1-ND","C18, C19","","Cut Tape (CT)","Active","2","0.10000","$0.20","7890","36 Weeks","CAP CER 4.3PF 50V NPO 0603","RoHS Compliant","Lead free","REACH Unaffected"
