"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"10118194-0001LF","Amphenol FCI","609-4618-1-ND","CN1","","Cut Tape (CT)","Active","1","0.42000","$0.42","153585","12 Weeks","CONN USB MICRO B RECPT SMT R/A","RoHS Compliant","Lead free","REACH Unaffected"
"CRG0603F100K","TE Connectivity Passive Product","A106046CT-ND","R16","","Cut Tape (CT)","Active","1","0.10000","$0.10","110580","18 Weeks","RES SMD 100K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Not Available"
"ERJ-3GEY0R00V","Panasonic Electronic Components","P0.0GCT-ND","R2,R3","","Cut Tape (CT)","Active","2","0.10000","$0.20","19976078","Not Available","RES SMD 0 OHM JUMPER 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"RC0603FR-071K5L","Yageo","311-1.50KHRCT-ND","R17","","Cut Tape (CT)","Active","1","0.10000","$0.10","308753","29 Weeks","RES SMD 1.5K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"NRVB120VLSFT1G","ON Semiconductor","NRVB120VLSFT1GOSCT-ND","D1","","Cut Tape (CT)","Active","1","0.46000","$0.46","3527","26 Weeks","DIODE SCHOTTKY 20V 1A SOD123","RoHS Compliant","Lead free","REACH Unaffected"
