"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CL-SB-12A-01T","Nidec Copal Electronics","563-1314-1-ND","Vertical actuator","SW2","Cut Tape (CT)","Active","1","0.90000","$0.90","7304","11 Weeks","SWITCH SLIDE SPDT 200MA 12V","RoHS Compliant","Lead free","REACH Unaffected"
"CL-SB-12A-12T","Nidec Copal Electronics","563-1317-1-ND","Horizontal actuator","SW2","Cut Tape (CT)","Active","1","1.23000","$1.23","5077","11 Weeks","SWITCH SLIDE SPDT 200MA 12V","RoHS Compliant","Lead free","REACH Unaffected"
