"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"114-00841-68","Amphenol Commercial Products","114-00841-68-1-ND","SD1","","Cut Tape (CT)","Active","1","1.31000","$1.31","27187","10 Weeks","CONN MICRO SD CARD PUSH-PULL R/A","RoHS Compliant","Lead free","Not Available"
"06035C104KAT2A","AVX Corporation","478-5052-1-ND","C3","","Cut Tape (CT)","Active","1","0.16000","$0.16","40000","Not Available","CAP CER 0.1UF 50V X7R 0603","RoHS Compliant","Lead free","REACH Unaffected"
"CRG0603F100K","TE Connectivity Passive Product","A106046CT-ND","R1","","Cut Tape (CT)","Active","1","0.10000","$0.10","110580","18 Weeks","RES SMD 100K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Not Available"
